service,method,path_norm,fe_files,be_files,notes
public-api,GET,/DOCUMENTS/{PARAM}/DOWNLOAD,,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/er-stubs.ts,BE-ONLY
public-api,GET,/DRIVER-ASSETS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DRIVER-PAYOUTS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DRIVER-SHIFTS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DRIVER/MY-ERRANDS,,bthwani-project-main/backend-nest/src/modules/akhdimni/akhdimni.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/ATTENDANCE,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DRIVERS/AVAILABLE,,bthwani-project-main/backend-nest/src/modules/akhdimni/errands.controller.ts;bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/errands-stubs.ts,BE-ONLY
public-api,GET,/DRIVERS/DOCS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DRIVERS/DOCUMENTS,bthwani-project-main/rider-app/src/api/driver.ts,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/EARNINGS,bthwani-project-main/rider-app/src/api/driver.ts,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/EARNINGS/DAILY,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/EARNINGS/WEEKLY,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/HEALTH,bthwani-project-main/admin-dashboard/src/pages/drivers/Dashboard.tsx,,FE-ONLY
public-api,GET,/DRIVERS/ME,bthwani-project-main/rider-app/app/(driver)/locations.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/DRIVERS/ORDERS/AVAILABLE,bthwani-project-main/rider-app/src/api/driver.ts;bthwani-project-main/rider-app/src/api/orders.ts,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/ORDERS/HISTORY,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/PROFILE,bthwani-project-main/rider-app/src/api/driver.ts;bthwani-project-main/rider-app/src/api/profile.ts,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md;bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/STATISTICS,bthwani-project-main/rider-app/src/api/driver.ts,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/VACATIONS/BALANCE,bthwani-project-main/rider-app/src/api/driver.ts,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,OK
public-api,GET,/DRIVERS/VACATIONS/MY,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/VACATIONS/POLICY,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/WITHDRAWALS/MY,bthwani-project-main/rider-app/src/api/driver.ts,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/DRIVERS/{PARAM},,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md;bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/DRIVERS/{PARAM}/DOCUMENTS,,bthwani-project-main/backend-nest/src/modules/driver/driver.controller.ts,BE-ONLY
public-api,GET,/EMPLOYEES,,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts,BE-ONLY
public-api,GET,/EMPLOYEES/{PARAM},,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts,BE-ONLY
