file,method,path,normalized_path
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/vendor-cancel,/DELIVERY/ORDER/{PARAM}/VENDOR-CANCEL
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/pod,/DELIVERY/ORDER/{PARAM}/POD
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/pod,/DELIVERY/ORDER/{PARAM}/POD
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/cancel,/DELIVERY/ORDER/{PARAM}/CANCEL
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/return,/DELIVERY/ORDER/{PARAM}/RETURN
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/rate,/DELIVERY/ORDER/{PARAM}/RATE
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/repeat,/DELIVERY/ORDER/{PARAM}/REPEAT
bthwani-project-main/backend-nest/reports/openapi.json,PATCH,/delivery/order/{id}/admin-status,/DELIVERY/ORDER/{PARAM}/ADMIN-STATUS
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/export,/DELIVERY/ORDER/EXPORT
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/tracking,/DELIVERY/ORDER/{PARAM}/TRACKING
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/schedule,/DELIVERY/ORDER/{PARAM}/SCHEDULE
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/public/{id}/status,/DELIVERY/ORDER/PUBLIC/{PARAM}/STATUS
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/live-tracking,/DELIVERY/ORDER/{PARAM}/LIVE-TRACKING
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/driver-eta,/DELIVERY/ORDER/{PARAM}/DRIVER-ETA
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/update-location,/DELIVERY/ORDER/{PARAM}/UPDATE-LOCATION
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/route-history,/DELIVERY/ORDER/{PARAM}/ROUTE-HISTORY
