surface,file,client,method,path,normalized_path
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,axios,POST,/admin/support/tickets,/ADMIN/SUPPORT/TICKETS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/system/AuditLogPage.tsx,axios,GET,/admin/audit-logs/stats,/ADMIN/AUDIT-LOGS/STATS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/system/AuditLogPage.tsx,axios,GET,/admin/audit-logs/my-actions?limit=3,/ADMIN/AUDIT-LOGS/MY-ACTIONS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/vendors/VendorsManagement.tsx,axios,GET,/admin/vendors,/ADMIN/VENDORS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/vendors/VendorsManagement.tsx,axios,POST,/admin/vendors,/ADMIN/VENDORS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx,axios,GET,/delivery/banners/admin,/DELIVERY/BANNERS/ADMIN
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx,axios,GET,/delivery/stores,/DELIVERY/STORES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx,axios,GET,/delivery/categories,/DELIVERY/CATEGORIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryCategoriesPage.tsx,axios,POST,/delivery/categories/bulk-reorder,/DELIVERY/CATEGORIES/BULK-REORDER
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryPromotionsPage.tsx,axios,POST,/promotions,/PROMOTIONS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/DriversList.tsx,axios,GET,/admin/drivers/attendance,/ADMIN/DRIVERS/ATTENDANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/tabs/Assets.tsx,axios,GET,/admin/driver-assets,/ADMIN/DRIVER-ASSETS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/tabs/Documents.tsx,axios,GET,/admin/drivers/docs,/ADMIN/DRIVERS/DOCS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/tabs/Finance.tsx,axios,GET,/admin/driver-payouts,/ADMIN/DRIVER-PAYOUTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/tabs/Shifts.tsx,axios,GET,/admin/driver-shifts,/ADMIN/DRIVER-SHIFTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/drivers/tabs/Vacations.tsx,api,GET,/admin/drivers/vacations/stats,/ADMIN/DRIVERS/VACATIONS/STATS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/marketing/AdSpendUpload.tsx,axios,POST,/marketing/adspend/upload,/MARKETING/ADSPEND/UPLOAD
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/marketing/Segments.tsx,axios,POST,/segments/preview,/SEGMENTS/PREVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/marketing/Segments.tsx,axios,POST,/segments/sync,/SEGMENTS/SYNC
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/money/GeneralLedger.tsx,http,GET,/accounts,/ACCOUNTS
