method,path,file,kind
GET,/finance/commissions/audit-log,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios
POST,/finance/commissions/settings,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios
GET,/finance/commissions/settings,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,client
GET,/finance/commissions/audit-log,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,client
POST,/finance/commissions/settings,admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,client
POST,/wallet/coupons,admin-dashboard/src/pages/admin/marketing/AdminCouponsPage.tsx,client
GET,/admin/pending-activations,admin-dashboard/src/pages/admin/onboarding/usePendingActivations.ts,client
GET,/admin/ops/drivers/realtime,admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,axios
GET,/admin/ops/heatmap,admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,axios
GET,/admin/ops/drivers/realtime,admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,client
GET,/admin/ops/heatmap,admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,client
GET,/pricing-strategies,admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,axios
POST,/pricing-strategies,admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,axios
GET,/pricing-strategies,admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,client
POST,/pricing-strategies,admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,client
GET,/reports/marketers/overview,admin-dashboard/src/pages/admin/reports/useMarketerReports.ts,client
GET,/admin/support/stats,admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,axios
POST,/admin/support/tickets,admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,axios
GET,/admin/support/stats,admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,client
POST,/admin/support/tickets,admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,client
GET,/admin/audit-logs/stats,admin-dashboard/src/pages/admin/system/AuditLogPage.tsx,axios
GET,/admin/audit-logs/my-actions?limit=3,admin-dashboard/src/pages/admin/system/AuditLogPage.tsx,axios
GET,/admin/audit-logs/stats,admin-dashboard/src/pages/admin/system/AuditLogPage.tsx,client
